ROIid;ROIabbr;ROIname
377;rDefaultB_PFCd_1;17Networks_RH_DefaultB_PFCd_1
378;rDefaultB_PFCd_2;17Networks_RH_DefaultB_PFCd_2
379;rDefaultB_PFCd_3;17Networks_RH_DefaultB_PFCd_3
380;rDefaultB_PFCd_4;17Networks_RH_DefaultB_PFCd_4
381;rDefaultB_PFCd_5;17Networks_RH_DefaultB_PFCd_5
382;rDefaultB_PFCv_1;17Networks_RH_DefaultB_PFCv_1
383;rDefaultB_PFCv_2;17Networks_RH_DefaultB_PFCv_2
384;rDefaultB_PFCv_3;17Networks_RH_DefaultB_PFCv_3
385;rDefaultC_IPL_1;17Networks_RH_DefaultC_IPL_1
386;rDefaultC_IPL_2;17Networks_RH_DefaultC_IPL_2
387;rDefaultC_Rsp_1;17Networks_RH_DefaultC_Rsp_1
388;rDefaultC_Rsp_2;17Networks_RH_DefaultC_Rsp_2
