ROIid;ROIabbr;ROIname;ROIcolor
262;rDorsAttnA_ParOcc_1;17Networks_RH_DorsAttnA_ParOcc_1;78 156 64
263;rDorsAttnA_ParOcc_2;17Networks_RH_DorsAttnA_ParOcc_2;78 156 65
264;rDorsAttnA_ParOcc_3;17Networks_RH_DorsAttnA_ParOcc_3;79 155 58
265;rDorsAttnA_SPL_1;17Networks_RH_DorsAttnA_SPL_1;79 155 59
266;rDorsAttnA_SPL_2;17Networks_RH_DorsAttnA_SPL_2;79 155 60
267;rDorsAttnA_SPL_3;17Networks_RH_DorsAttnA_SPL_3;79 155 62
268;rDorsAttnA_SPL_4;17Networks_RH_DorsAttnA_SPL_4;79 155 63
269;rDorsAttnA_SPL_5;17Networks_RH_DorsAttnA_SPL_5;79 155 64
270;rDorsAttnA_SPL_6;17Networks_RH_DorsAttnA_SPL_6;79 155 65
271;rDorsAttnA_SPL_7;17Networks_RH_DorsAttnA_SPL_7;79 155 66
272;rDorsAttnA_SPL_8;17Networks_RH_DorsAttnA_SPL_8;79 155 67
273;rDorsAttnB_TempOcc_1;17Networks_RH_DorsAttnB_TempOcc_1;5 118 15
274;rDorsAttnB_PostC_1;17Networks_RH_DorsAttnB_PostC_1;5 118 13
275;rDorsAttnB_PostC_2;17Networks_RH_DorsAttnB_PostC_2;5 118 14
276;rDorsAttnB_PostC_3;17Networks_RH_DorsAttnB_PostC_3;5 118 16
277;rDorsAttnB_PostC_4;17Networks_RH_DorsAttnB_PostC_4;5 118 17
278;rDorsAttnB_PostC_5;17Networks_RH_DorsAttnB_PostC_5;5 118 18
279;rDorsAttnB_PostC_6;17Networks_RH_DorsAttnB_PostC_6;5 118 19
280;rDorsAttnB_PostC_7;17Networks_RH_DorsAttnB_PostC_7;5 118 20
281;rDorsAttnB_PostC_8;17Networks_RH_DorsAttnB_PostC_8;5 118 21
282;rDorsAttnB_FEF_1;17Networks_RH_DorsAttnB_FEF_1;5 119 15
283;rDorsAttnB_FEF_2;17Networks_RH_DorsAttnB_FEF_2;5 119 16
284;rDorsAttnB_FEF_3;17Networks_RH_DorsAttnB_FEF_3;5 119 17
285;rSalVentAttnA_ParOper_1;17Networks_RH_SalVentAttnA_ParOper_1;200 58 250
286;rSalVentAttnA_ParOper_2;17Networks_RH_SalVentAttnA_ParOper_2;200 58 251
287;rSalVentAttnA_ParOper_3;17Networks_RH_SalVentAttnA_ParOper_3;200 58 252
288;rSalVentAttnA_PrC_1;17Networks_RH_SalVentAttnA_PrC_1;200 57 251
289;rSalVentAttnA_Ins_1;17Networks_RH_SalVentAttnA_Ins_1;199 58 248
