# id;name;version;mpm;surface;default-granularity;high-granularity;sub-01;sub-02;sub-03;sub-04;sub-05;sub-06;sub-07;sub-08;sub-09;sub-10;sub-11;sub-12;sub-13;sub-14;sub-15;sub-16;sub-17;sub-18;sub-19;sub-20;sub-21;sub-22;sub-23;sub-24;sub-26
333;Area-8d2;5.0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
334;Area-8v2;5.0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
335;Area-8v1;5.0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
336;Area-Ig3;5.1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
337;Area-Id4;5.1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
338;Area-Id5;5.1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
339;Area-Ia1;5.1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
340;Area-Id6;5.1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0
341;Area-SFS1;9.0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0
342;Area-SFS2;9.0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0
343;Area-MFG1;9.0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0
344;Area-MFG2;9.0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0
346;Area-6v1;11.0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
347;Area-6r1;11.0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
348;Area-Op5;4.0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
349;Area-Op6;4.0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
350;Area-Op7;4.0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
355;Area-Ph1;7.2;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
356;Area-Ph2;7.2;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
357;Area-Ph3;7.2;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
358;Area-CoS1;7.2;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
359;VentralStriatum-AcbM;5.0;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0
360;VentralStriatum-FuCd;5.0;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0
361;VentralStriatum-FuP;5.0;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0
362;VentralStriatum-AcbL;5.0;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0
363;VentralPallidum-VP;5.0;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0
367;Metathalamus-CGL;10.0;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
368;Metathalamus-CGM;10.0;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
